date,code,open,high,low,close,preclose,volume,amount,pctChg
2012-01-20,sh.000037,2694.2180,2805.3720,2694.1490,2796.8800,2705.6470,296855100,3133680000.0000,3.371944
2012-01-30,sh.000037,2803.7050,2803.7050,2751.3170,2762.4300,2796.8800,99678000,1227370000.0000,-1.231728
2012-01-31,sh.000037,2760.4110,2770.3100,2744.4750,2762.2370,2762.4300,108398800,1082100000.0000,-0.006982
2012-02-01,sh.000037,2762.1230,2793.7030,2753.1710,2763.3470,2762.2370,163775100,1634990000.0000,0.040180
2012-02-02,sh.000037,2768.3890,2795.4610,2755.5950,2794.9340,2763.3470,145170000,1496170000.0000,1.143076
2012-02-03,sh.000037,2791.5860,2842.8860,2785.0350,2837.0860,2794.9340,201361400,2204260000.0000,1.508152
2012-02-06,sh.000037,2847.3100,2875.8470,2838.9580,2868.7580,2837.0860,202166500,2307360000.0000,1.116361
2012-02-07,sh.000037,2855.9720,2855.9720,2795.6040,2811.6540,2868.7580,107629900,1260120000.0000,-1.990548
2012-02-08,sh.000037,2806.0690,2862.6600,2791.9330,2861.6810,2811.6540,186958700,1990010000.0000,1.779268
2012-02-09,sh.000037,2860.9400,2916.5170,2854.4590,2902.4950,2861.6810,260820400,2662030000.0000,1.426232
2012-02-10,sh.000037,2895.0490,2920.3850,2887.3650,2906.0590,2902.4950,248968900,2639340000.0000,0.122790
2012-02-13,sh.000037,2882.0540,2961.0640,2871.3190,2944.0780,2906.0590,292881200,3195160000.0000,1.308260
2012-02-14,sh.000037,2942.7780,2957.6830,2918.9230,2952.1150,2944.0780,233428000,2541870000.0000,0.272992
2012-02-15,sh.000037,2947.2180,2979.2510,2929.8220,2973.4140,2952.1150,230192900,2503440000.0000,0.721485
2012-02-16,sh.000037,2969.0010,3001.7640,2946.7490,2970.2560,2973.4140,219988600,2506520000.0000,-0.106206
2012-02-17,sh.000037,2977.5780,2987.4550,2938.9920,2960.8070,2970.2560,246004600,2506610000.0000,-0.318128
2012-02-20,sh.000037,2996.9590,3000.2120,2946.0060,2949.4090,2960.8070,232444900,2593340000.0000,-0.384961
2012-02-21,sh.000037,2951.1290,2965.5910,2913.9810,2964.8070,2949.4090,222991300,2435770000.0000,0.522069
2012-02-22,sh.000037,2964.2420,3013.4960,2955.5530,3012.8940,2964.8070,313249400,3543570000.0000,1.621932
2012-02-23,sh.000037,3019.2980,3040.0970,3004.2730,3036.6110,3012.8940,291979600,3354150000.0000,0.787185
2012-02-24,sh.000037,3031.6270,3068.5050,3015.2460,3068.0860,3036.6110,305944800,3460730000.0000,1.036512
2012-02-27,sh.000037,3075.2630,3110.0110,3059.8500,3070.5980,3068.0860,366579300,4475030000.0000,0.081874
2012-02-28,sh.000037,3056.3400,3068.4340,3021.2850,3044.8070,3070.5980,282165300,3151480000.0000,-0.839935
2012-02-29,sh.000037,3040.4350,3045.3740,3010.4510,3013.1840,3044.8070,200990400,2567050000.0000,-1.038582
2012-03-01,sh.000037,3007.9440,3016.2350,2982.8010,3005.6380,3013.1840,204001200,2642630000.0000,-0.250437
2012-03-02,sh.000037,3005.9610,3044.0410,3004.3070,3043.6590,3005.6380,216578200,2646880000.0000,1.264989
2012-03-05,sh.000037,3054.0390,3058.1210,3016.4070,3022.2290,3043.6590,280689400,3431660000.0000,-0.704085
2012-03-06,sh.000037,3016.5480,3016.5480,2963.3520,2967.9750,3022.2290,222055000,2614810000.0000,-1.795162
2012-03-07,sh.000037,2945.9390,2983.3440,2938.9970,2959.3450,2967.9750,191994900,2323300000.0000,-0.290775
2012-03-08,sh.000037,2965.9330,2990.3290,2960.2150,2989.3080,2959.3450,187167000,2256670000.0000,1.012492
2012-03-09,sh.000037,2998.0320,3026.3670,2975.6170,3025.9370,2989.3080,223213400,2747870000.0000,1.225331
2012-03-12,sh.000037,3037.2850,3113.0620,3037.2850,3112.4900,3025.9370,364988200,4726840000.0000,2.860369
2012-03-13,sh.000037,3113.3720,3116.7830,3091.1360,3115.7870,3112.4900,229977400,2975950000.0000,0.105932
2012-03-14,sh.000037,3126.8450,3155.5390,2990.1140,3008.8600,3115.7870,427359300,5191490000.0000,-3.431781
2012-03-15,sh.000037,3000.9290,3062.9660,2970.0350,3041.0170,3008.8600,325575800,3908760000.0000,1.068743
2012-03-16,sh.000037,3044.2620,3123.4550,3043.5980,3123.3880,3041.0170,347620800,4429330000.0000,2.708661
2012-03-19,sh.000037,3127.7400,3172.9440,3118.2690,3163.3740,3123.3880,389795900,4720960000.0000,1.280215
2012-03-20,sh.000037,3148.7630,3148.7630,3080.0040,3081.8160,3163.3740,268442100,3253700000.0000,-2.578200
2012-03-21,sh.000037,3088.7570,3102.0790,3034.4740,3072.6620,3081.8160,197116400,2411650000.0000,-0.297027
2012-03-22,sh.000037,3070.8910,3080.0200,3046.7430,3059.5810,3072.6620,128847800,1634100000.0000,-0.425724
2012-03-23,sh.000037,3052.7960,3052.7960,2989.8340,3003.8350,3059.5810,156773500,1819760000.0000,-1.822017
2012-03-26,sh.000037,2997.5160,3018.4480,2974.9440,3017.6350,3003.8350,107851400,1600990000.0000,0.459414
2012-03-27,sh.000037,3025.1230,3035.7650,2975.8250,2981.1430,3017.6350,132111300,1870790000.0000,-1.209289
2012-03-28,sh.000037,2974.1050,2974.1050,2860.8480,2868.0810,2981.1430,224653800,2731290000.0000,-3.792572
2012-03-29,sh.000037,2855.0320,2873.9110,2815.2730,2835.7580,2868.0810,202598100,2438890000.0000,-1.126990
2012-03-30,sh.000037,2831.1550,2858.8440,2806.7570,2829.5890,2835.7580,141022800,1654780000.0000,-0.217541
2012-04-05,sh.000037,2831.4660,2899.7890,2818.1160,2898.7320,2829.5890,198626200,2350990000.0000,2.443564
2012-04-06,sh.000037,2891.0070,2921.2920,2881.0000,2898.5270,2898.7320,182633000,2145340000.0000,-0.007066
2012-04-09,sh.000037,2891.8080,2903.2180,2854.5350,2856.6840,2898.5270,152555600,1804810000.0000,-1.443596
2012-04-10,sh.000037,2856.1630,2886.1570,2801.8930,2885.5680,2856.6840,154520200,1726450000.0000,1.011104
2012-04-11,sh.000037,2860.8140,2896.2510,2846.7330,2882.2700,2885.5680,146755300,1626510000.0000,-0.114296
2012-04-12,sh.000037,2883.4430,2941.6850,2883.2160,2941.3320,2882.2700,197701500,2261160000.0000,2.049149
2012-04-13,sh.000037,2946.6750,2963.4080,2936.8200,2953.8690,2941.3320,209601400,2459980000.0000,0.426231
2012-04-16,sh.000037,2932.9340,2954.3230,2922.7610,2942.8210,2953.8690,159870300,1866290000.0000,-0.374013
2012-04-17,sh.000037,2940.6250,2968.6860,2930.4660,2939.3450,2942.8210,177620000,1969880000.0000,-0.118121
2012-04-18,sh.000037,2952.7890,2979.4170,2922.5190,2976.9500,2939.3450,216252900,2506630000.0000,1.279366
2012-04-19,sh.000037,2975.0750,2982.8260,2944.1120,2962.1230,2976.9500,179902900,2128980000.0000,-0.498057
2012-04-20,sh.000037,2958.1100,2968.7770,2944.9060,2966.7330,2962.1230,162249700,1910620000.0000,0.155627
2012-04-23,sh.000037,2964.9030,2968.8390,2937.4220,2952.6270,2966.7330,195171700,2171420000.0000,-0.475471
2012-04-24,sh.000037,2943.2950,2971.6210,2875.0570,2929.0770,2952.6270,197093300,2285160000.0000,-0.797597
2012-04-25,sh.000037,2923.6770,2942.9500,2913.9840,2936.1570,2929.0770,186877200,2178610000.0000,0.241717
2012-04-26,sh.000037,2942.7040,2949.6260,2903.9110,2917.5920,2936.1570,245646500,2922130000.0000,-0.632287
2012-04-27,sh.000037,2920.1130,2922.0510,2892.7820,2898.8490,2917.5920,184358300,2271940000.0000,-0.642411
2012-05-02,sh.000037,2933.3140,2966.8390,2911.1200,2965.4290,2898.8490,257706300,3255060000.0000,2.296768
2012-05-03,sh.000037,2968.6020,3052.3030,2962.3930,3049.2090,2965.4290,322989100,4391210000.0000,2.825225
2012-05-04,sh.000037,3052.8180,3066.2740,3031.2300,3059.9800,3049.2090,307832200,3805170000.0000,0.353239
2012-05-07,sh.000037,3044.4160,3122.2760,3038.7550,3118.2680,3059.9800,346885800,4599380000.0000,1.904852
2012-05-08,sh.000037,3117.9580,3124.3540,3091.6790,3105.6500,3118.2680,274126300,3438030000.0000,-0.404653
2012-05-09,sh.000037,3086.4160,3086.4160,3043.5480,3054.6100,3105.6500,255058600,3218670000.0000,-1.643450
2012-05-10,sh.000037,3053.2830,3130.1510,3053.2830,3096.4950,3054.6100,302182000,3987810000.0000,1.371206
2012-05-11,sh.000037,3095.3770,3145.9030,3085.5530,3127.2180,3096.4950,313717900,4133520000.0000,0.992183
2012-05-14,sh.000037,3136.4140,3225.0030,3115.0970,3171.7720,3127.2180,429125500,5269840000.0000,1.424715
2012-05-15,sh.000037,3145.5870,3155.8720,3110.2060,3133.8520,3171.7720,329296700,4723240000.0000,-1.195544
2012-05-16,sh.000037,3128.9260,3144.4090,3118.3970,3120.2240,3133.8520,207971900,3221460000.0000,-0.434862
2012-05-17,sh.000037,3102.2560,3116.3530,3087.2820,3111.2840,3120.2240,224746500,3050210000.0000,-0.286524
2012-05-18,sh.000037,3093.3010,3097.7200,3037.1630,3045.8340,3111.2840,225393900,2947900000.0000,-2.103631
2012-05-21,sh.000037,3042.0410,3068.8410,3029.9440,3058.5260,3045.8340,184807200,2601330000.0000,0.416697
2012-05-22,sh.000037,3069.2050,3104.6170,3069.2050,3099.5010,3058.5260,206198500,3106290000.0000,1.339701
